"textname","date","func","prop"
"text1",1797,"com",0.931034482758621
"text1",1797,"goal",0.517857142857143
"text1",1797,"ins",0.882352941176471
"text1",1797,"poss",0.147435897435897
"text1",1797,"recip",0.5
"text10",1830,"com",1
"text10",1830,"goal",0.0833333333333333
"text10",1830,"ins",1
"text10",1830,"poss",0
"text10",1830,"recip",0.333333333333333
"text11",1825,"com",1
"text11",1825,"goal",0.5
"text11",1825,"ins",0.789473684210526
"text11",1825,"poss",0.273584905660377
"text11",1825,"recip",0.8
"text13",1821,"com",1
"text13",1821,"goal",0.366666666666667
"text13",1821,"ins",1
"text13",1821,"poss",0.19047619047619
"text13",1821,"recip",0
"text15",1806,"com",0.75
"text15",1806,"goal",0.558823529411765
"text15",1806,"ins",0.75
"text15",1806,"poss",0.0246913580246914
"text15",1806,"recip",0.333333333333333
"text16",1796,"com",1
"text16",1796,"goal",0.277777777777778
"text16",1796,"ins",0.96
"text16",1796,"poss",0.0364963503649635
"text16",1796,"recip",0.0476190476190476
"text17",1860,"com",1
"text17",1860,"goal",0.666666666666667
"text17",1860,"ins",0.857142857142857
"text17",1860,"poss",0.0303030303030303
"text17",1860,"recip",0.666666666666667
"text19",1764,"com",1
"text19",1764,"goal",0.275
"text19",1764,"ins",0.933333333333333
"text19",1764,"poss",0
"text19",1764,"recip",0.2
"text20",1665,"com",1
"text20",1665,"goal",0.310344827586207
"text20",1665,"ins",0.4375
"text20",1665,"poss",0.116883116883117
"text20",1665,"recip",0
"text23",1856,"com",1
"text23",1856,"goal",0.75
"text23",1856,"ins",1
"text23",1856,"poss",0.341463414634146
"text23",1856,"recip",1
"text24",1345,"com",0.857142857142857
"text24",1345,"goal",0.10625
"text24",1345,"ins",0.196078431372549
"text24",1345,"poss",0.0043859649122807
"text24",1345,"recip",0
"text26",1665,"com",1
"text26",1665,"goal",0.193548387096774
"text26",1665,"ins",0.857142857142857
"text26",1665,"poss",0.102564102564103
"text26",1665,"recip",0.5
"text29",1531,"goal",0
"text29",1531,"ins",0
"text29",1531,"poss",0
"text29",1531,"recip",0
"text31",1385,"com",0.777777777777778
"text31",1385,"goal",0.315068493150685
"text31",1385,"ins",0.0833333333333333
"text31",1385,"poss",0
"text31",1385,"recip",0
"text32",1550,"com",1
"text32",1550,"goal",0.125
"text32",1550,"ins",0.0625
"text32",1550,"poss",0
"text32",1550,"recip",0
"text35",1695,"com",0.882352941176471
"text35",1695,"goal",0.25
"text35",1695,"ins",0.368421052631579
"text35",1695,"poss",0.112676056338028
"text35",1695,"recip",0
"text5",1814,"com",1
"text5",1814,"goal",0.424242424242424
"text5",1814,"ins",1
"text5",1814,"poss",0.1
"text5",1814,"recip",0.444444444444444
"text8",1750,"com",1
"text8",1750,"goal",0.148148148148148
"text8",1750,"ins",1
"text8",1750,"poss",0
"text8",1750,"recip",0.4
"text9",1784,"com",1
"text9",1784,"goal",0.6
"text9",1784,"ins",1
"text9",1784,"poss",0.0357142857142857
"text9",1784,"recip",0
