"textname","func","prop","date"
"text1","abl",1,"1797"
"text1","agent",0.75,"1797"
"text1","ass",0.9397590361445783,"1797"
"text1","ben",0.5454545454545454,"1797"
"text1","com",0.9285714285714286,"1797"
"text1","dobj",0.003257328990228013,"1797"
"text1","goal",0.5087719298245614,"1797"
"text1","ins",0.8857142857142857,"1797"
"text1","loc",0.9766081871345029,"1797"
"text1","poss",0.9259259259259259,"1797"
"text1","recip",0.5,"1797"
"text1","subj",0.004629629629629629,"1797"
"text1","temp",0.6153846153846154,"1797"
"text10","abl",1,"1830"
"text10","ass",1,"1830"
"text10","ben",0,"1830"
"text10","com",1,"1830"
"text10","dobj",0,"1830"
"text10","goal",0.08333333333333333,"1830"
"text10","ins",1,"1830"
"text10","loc",1,"1830"
"text10","recip",0.3333333333333333,"1830"
"text10","subj",0,"1830"
"text10","temp",0.6666666666666666,"1830"
"text11","abl",0.9375,"1825"
"text11","agent",1,"1825"
"text11","ass",0.9736842105263158,"1825"
"text11","ben",0.8,"1825"
"text11","com",1,"1825"
"text11","dobj",0.008547008547008548,"1825"
"text11","goal",0.4375,"1825"
"text11","ins",0.7894736842105263,"1825"
"text11","loc",0.9645390070921985,"1825"
"text11","poss",1,"1825"
"text11","recip",0.8,"1825"
"text11","subj",0,"1825"
"text11","temp",0.35714285714285715,"1825"
"text13","abl",1,"1821"
"text13","agent",1,"1821"
"text13","ass",0.8571428571428571,"1821"
"text13","ben",1,"1821"
"text13","com",1,"1821"
"text13","dobj",0.012195121951219513,"1821"
"text13","goal",0.3448275862068966,"1821"
"text13","ins",1,"1821"
"text13","loc",0.9859154929577465,"1821"
"text13","poss",1,"1821"
"text13","recip",0,"1821"
"text13","subj",0,"1821"
"text13","temp",0.6428571428571429,"1821"
"text15","abl",0.96875,"1806"
"text15","agent",0.6666666666666666,"1806"
"text15","ass",1,"1806"
"text15","ben",0.4,"1806"
"text15","com",0.75,"1806"
"text15","dobj",0,"1806"
"text15","goal",0.5428571428571428,"1806"
"text15","ins",0.7142857142857143,"1806"
"text15","loc",0.9807692307692307,"1806"
"text15","poss",1,"1806"
"text15","recip",0.3333333333333333,"1806"
"text15","subj",0,"1806"
"text15","temp",0.2857142857142857,"1806"
"text16","abl",0.8,"1796"
"text16","agent",1,"1796"
"text16","ass",1,"1796"
"text16","ben",0.375,"1796"
